,Identifiant,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee,pluie,catnat,criminalite,pprn,chomage,rev_med
0,18702,2014,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1351.0,4,2012.0,0.0,   2,65440,7,1.0,0.04406202227560603,1,11.35,17098.0
1,3877,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1972.0,2,1980.0,0.0,   .,14341,1,0.0,0.03929908771523993,0,9.75,19767.61904761905
2,4942,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1630.0,4,-1.0,0.0,   .,75109,0,0.0,0.109340556085541,0,8.275,32166.9782608696
3,13428,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,532.0,3,-1.0,0.0,   .,92004,0,0.0,0.0635615240137162,0,7.75,23320.555555555602
4,17137,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1050.0,2,1972.0,0.0,   4,59340,1,0.0,0.06240619858915001,67,12.95,20914.0
5,7580,2016,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2039.0,2,1960.0,0.0,   .,13206,4,0.0,0.07696127724824814,4,11.675,20507.020833333336
6,11501,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,750.0,1,1960.0,0.0,   .,33015,1,0.0,0.05533950111012233,0,10.25,23297.33333333333
7,9102,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,570.0,3,-1.0,0.0,   .,59350,2,0.0,0.06224010772267249,24,12.5,18051.195238095243
8,11999,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,835.0,1,1980.0,0.0,   .,88383,3,39.0,0.03652733327742323,13,11.075,17971.333333333336
9,9772,2013,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1015.0,2,1972.0,0.3,   3,83061,9,0.0,0.06109861819610085,0,11.1,18976.9565217391
10,8043,2012,"0,081967213",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,752.0,3,-1.0,0.0,   .,59599,1,0.0,0.06128224038393153,0,12.7,16040.666666666699
11,19571,2015,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1395.0,1,1960.0,0.6,   4,10387,2,0.0,0.05292891903085525,0,12.75,16821.0
12,5907,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200.0,2,1960.0,0.0,   .,34324,13,0.0,0.0703275838550769,7,14.45,17908.6666666667
13,7226,2013,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,900.0,2,1980.0,0.0,   .,67389,2,0.0,0.04284787193769942,2,8.75,23857.3333333333
