Insee;num_risque_jo;annee
1017;16.0;2012
1022;1.0;2013
1022;1.0;2015
1025;1.0;2016
1034;1.0;2015
1052;1.0;2016
1075;1.0;2012
1084;1.0;2016
1085;1.0;2016
1094;1.0;2016
1157;1.0;2012
1173;1.0;2015
1196;39.0;2012
1235;1.0;2016
1243;1.0;2012
1262;1.0;2015
1267;1.0;2016
1272;1.0;2016
1299;1.0;2016
1305;1.0;2016
1305;1.0;2016
1323;1.0;2016
1337;1.0;2016
1352;1.0;2016
1381;1.0;2016
1384;16.0;2012
1389;1.0;2012
1437;1.0;2016
1443;1.0;2016
2020;1.0;2016
2052;1.0;2013
2061;1.0;2016
2110;1.0;2015
2114;1.0;2016
2135;1.0;2016
2142;1.0;2016
2296;1.0;2016
2340;1.0;2016
2359;1.0;2016
2366;1.0;2016
2371;1.0;2016
2398;1.0;2013
2420;1.0;2016
2422;1.0;2016
2465;1.0;2015
2504;1.0;2016
2549;1.0;2016
2558;1.0;2016
2562;1.0;2016
2571;1.0;2016
2587;1.0;2016
2587;1.0;2016
2593;1.0;2013
2632;1.0;2013
2632;1.0;2013
2684;1.0;2014
2691;1.0;2016
2710;1.0;2016
2724;1.0;2013
2757;1.0;2016
2768;1.0;2016
2779;1.0;2016
2796;1.0;2015
2831;1.0;2016
3001;39.0;2012
3001;39.0;2012
3008;1.0;2012
3012;39.0;2012
3012;39.0;2012
3016;39.0;2012
3016;39.0;2012
3018;39.0;2012
3018;39.0;2012
3022;1.0;2012
3022;39.0;2016
3023;39.0;2012
3023;39.0;2012
3023;1.0;2016
3026;39.0;2012
3026;39.0;2012
3029;39.0;2012
3029;39.0;2012
3030;39.0;2012
3030;39.0;2012
3034;39.0;2013
3040;39.0;2012
3040;39.0;2012
3044;39.0;2012
3050;1.0;2014
3053;39.0;2012
3053;39.0;2012
3065;39.0;2012
3065;39.0;2012
3069;1.0;2014
3070;1.0;2014
3079;39.0;2012
3079;39.0;2012
3080;39.0;2012
3080;39.0;2012
3080;1.0;2016
3093;39.0;2012
3094;39.0;2012
3094;39.0;2012
3095;1.0;2012
3095;39.0;2012
3095;39.0;2012
3095;1.0;2012
3095;1.0;2013
3098;39.0;2013
3099;1.0;2013
3101;39.0;2012
3101;39.0;2012
3101;39.0;2013
3109;39.0;2013
3110;39.0;2012
3110;39.0;2012
3110;1.0;2016
3111;1.0;2016
3113;1.0;2013
3131;1.0;2016
3131;1.0;2016
3137;1.0;2013
3138;1.0;2012
3139;1.0;2014
3140;16.0;2015
3145;39.0;2013
3146;39.0;2013
3157;39.0;2012
3157;39.0;2012
3158;1.0;2016
3175;1.0;2014
3178;39.0;2012
3178;39.0;2012
3178;1.0;2016
3179;39.0;2012
3182;39.0;2012
3182;39.0;2012
3185;39.0;2012
3185;39.0;2012
3185;39.0;2013
3187;39.0;2013
3191;1.0;2014
3193;39.0;2013
3200;1.0;2015
3202;39.0;2012
3202;39.0;2012
3202;1.0;2015
3213;1.0;2016
3214;1.0;2014
3215;39.0;2012
3215;39.0;2012
3215;1.0;2013
3217;39.0;2012
3224;1.0;2015
3232;39.0;2012
3232;39.0;2012
3252;39.0;2012
3252;39.0;2012
3257;1.0;2012
3258;1.0;2016
3260;1.0;2014
3262;1.0;2016
3267;39.0;2012
3268;39.0;2012
3270;1.0;2012
3271;39.0;2012
3277;1.0;2014
3285;1.0;2012
3291;1.0;2012
3292;1.0;2014
3294;39.0;2012
3294;39.0;2012
3296;39.0;2012
3297;39.0;2012
3297;39.0;2012
3297;39.0;2013
3297;1.0;2014
3301;39.0;2013
3301;1.0;2016
3303;39.0;2013
3304;39.0;2012
