cod_nat_dicrim;lib_dicrim;lib_bassin_risques;cod_commune;lib_commune;lib_commentaire;dat_program_dicrim_deb;dat_program_dicrim_fin;dat_etu_dicrim_deb;dat_etu_dicrim_fin;dat_publi_dicrim;dat_reception_min;dat_maj
21PREF20190002;MEURSANGES;"";21411;Meursanges;"";;;;;2019-02-07 00:00:00;;
21PREF20190001;CORGENGOUX;"";21193;Corgengoux;"";;;;;2019-02-06 00:00:00;;2019-02-27 00:00:00
51PREF20190003;Bazancourt;"";51043;Bazancourt;"";;;;;2011-04-20 00:00:00;;
51PREF20190002;Aulnay-sur-Marne;"";51023;Aulnay-sur-Marne;"";;;;;2014-12-01 00:00:00;;2019-02-04 00:00:00
51PREF20190001;Athis;"";51018;Athis;"";;;;;2014-11-29 00:00:00;;
10DDT20190004;DICRIM EGUILLY SOUS BOIS;"";10136;Éguilly-sous-Bois;"";;2018-12-01 00:00:00;;;2018-12-01 00:00:00;;
10DDT20190003;DICRIM BREVONNES;"";10061;Brévonnes;"";;;;;2018-11-13 00:00:00;;
10DDT20190002;DICRIM BOSSANCOURT;"";10050;Bossancourt;"";;2018-01-15 00:00:00;;;2018-01-15 00:00:00;;
67DREAL20180001;DICRIM ICHTRATZHEIM;"";67217;Ichtratzheim;"";;;;;2018-12-15 00:00:00;;2018-12-28 00:00:00
10DDT20180079;DICRIM VILLERET;"";10424;Villeret;"";;;;;2017-01-03 00:00:00;;2019-01-14 00:00:00
10DDT20180078;DICRIM VERRICOURT;"";10405;Verricourt;"";;;;;2017-10-19 00:00:00;;
10DDT20180077;DICRIM VAUCOGNE;"";10398;Vaucogne;"";;;;;2018-02-12 00:00:00;;
10DDT20180076;DICRIM VALLENTIGNY;"";10393;Vallentigny;"";;;;;2017-03-28 00:00:00;;
10DDT20180073;DICRIM LA SAULSOTTE;"";10367;La Saulsotte;"";;;;;2014-08-04 00:00:00;;
10DDT20180072;DICRIM SAINT MESMIN;"";10353;Saint-Mesmin;"";;;;;2015-06-10 00:00:00;;
10DDT20180071;DICRIM SAINT LYE;"";10349;Saint-Lyé;"";;;;;2015-10-05 00:00:00;;
10DDT20180070;DICRIM SAINT BENOIT SUR SEINE;"";10336;Saint-Benoît-sur-Seine;"";;;;;2015-06-29 00:00:00;;
10DDT20180069;DICRIM RUVIGNY;"";10332;Ruvigny;"";;;;;2016-12-22 00:00:00;;
10DDT20180068;DICRIM ROUILLY SAINT LOUP;"";10329;Rouilly-Saint-Loup;"";;;;;2010-01-11 00:00:00;;
10DDT20180067;DICRIM ROUILLY SACEY;"";10328;Rouilly-Sacey;"";;;;;2018-03-23 00:00:00;;
10DDT20180066;DICRIM ROSNAY L'HOPITAL;"";10326;Rosnay-l'Hôpital;"";;;;;2017-03-21 00:00:00;;2018-12-17 00:00:00
10DDT20180065;DICRIM ROMILLY SUR SEINE;"";10323;Romilly-sur-Seine;"";;;;;2012-03-19 00:00:00;;
10DDT20180064;DICRIM RADONVILLIERS;"";10313;Radonvilliers;"";;;;;2016-07-21 00:00:00;;
10DDT20180063;DICRIM POLISOT;"";10295;Polisot;"";;;;;2015-10-02 00:00:00;;
10DDT20180062;DICRIM PERTHES LES BRIENNE;"";10285;Perthes-lès-Brienne;"";;;;;2016-10-13 00:00:00;;
