cod_nat_pcs;lib_pcs;cod_commune;lib_commune;lib_bassin_risques;lib_commentaire;dat_etu_pcs_deb;dat_etu_pcs_fin;dat_notification_pcs_fin;dat_maj
21PREF20190004;MEURSANGES;21411;Meursanges;"";"";;;2019-01-31 00:00:00;
21PREF20190003;CORGENGOUX;21193;Corgengoux;"";"";;;2019-01-30 00:00:00;
28PREF20190001;LORMAYE;28213;Lormaye;EURE;"";2018-01-01 00:00:00;2019-02-07 00:00:00;2019-02-07 00:00:00;
71PREF20180032;VERDUN-sur-le-DOUBS;71566;Verdun-sur-le-Doubs;"";"";;;2018-07-12 00:00:00;
71PREF20190004;UCHIZY;71550;Uchizy;"";"";;;2017-10-02 00:00:00;
71PREF20180031;SAINT-VALLIER;71486;Saint-Vallier;"";"";;;2017-06-23 00:00:00;
71PREF20190003;SAINT-MARCEL;71445;Saint-Marcel;"";"";;;2018-11-29 00:00:00;
71PREF20190002;SAINT-GERMAIN-du-PLAIN;71420;Saint-Germain-du-Plain;"";"";;;2018-07-11 00:00:00;
71PREF20180030;SAINT-CYR;71402;Saint-Cyr;"";"";;;2018-03-29 00:00:00;
71PREF20180029;SASSENAY;71502;Sassenay;"";"";;;2018-04-03 00:00:00;
71PREF20180028;PONTOUX;71355;Pontoux;"";"";;;2018-02-15 00:00:00;
71PREF20180027;PALLEAU;71341;Palleau;"";"";;;2017-08-01 00:00:00;
71PREF20180026;NAVILLY;71329;Navilly;"";"";;;2018-08-03 00:00:00;2019-01-28 00:00:00
71PREF20180025;MONTCEAU LES MINES;71306;Montceau-les-Mines;"";"";;;2017-12-11 00:00:00;
71PREF20180024;FLEURVILLE;71591;Fleurville;"";"";;;2017-11-07 00:00:00;
71PREF20180023;CLUX LA VILLENEUVE;71138;Clux;"";"";;;2018-01-26 00:00:00;
71PREF20190001;CHAINTRE;71074;Chaintré;"";"";;;2018-09-10 00:00:00;2019-01-28 00:00:00
71PREF20180022;BLANZY;71040;Blanzy;XXXX;"";;;2018-10-25 00:00:00;2019-01-28 00:00:00
28PREF20180052;MEZIERES-EN-DROUAIS;28251;Mézières-en-Drouais;"";"";2018-01-01 00:00:00;2018-08-02 00:00:00;;
28PREF20180051;DONNEMAIN-SAINT-MAMES;28132;Donnemain-Saint-Mamès;"";"";2018-01-01 00:00:00;2018-11-30 00:00:00;2018-12-20 00:00:00;2018-12-21 00:00:00
28PREF20180050;sainte gemme moronval;28332;Sainte-Gemme-Moronval;"";"";2018-01-01 00:00:00;2018-11-30 00:00:00;2018-12-03 00:00:00;2018-12-21 00:00:00
28PREF20180049;MAINTENON;28227;Maintenon;"";"";2017-07-01 00:00:00;2018-04-18 00:00:00;2018-04-18 00:00:00;
85PREF20180005;LA MERLATIERE;85142;La Merlatière;"";"";;2016-07-29 00:00:00;2016-07-29 00:00:00;2018-11-27 00:00:00
2ADREAL20180033;Viggianello;2A349;Viggianello;"";"";;;2015-08-20 00:00:00;
2ADREAL20180032;Vero;2A345;Vero;"";"";;;2015-09-10 00:00:00;2018-11-26 00:00:00
2ADREAL20180031;Sotta;2A288;Sotta;"";"";;;2015-12-28 00:00:00;
2ADREAL20180030;Serriera;2A279;Serriera;"";"";;;2016-06-03 00:00:00;
2ADREAL20180029;San-Gavino-di-Carbini;2A300;San-Gavino-di-Carbini;"";"";;;2015-09-10 00:00:00;
2ADREAL20180028;Propriano;2A249;Propriano;"";"";;;2015-09-04 00:00:00;
2ADREAL20180027;Piana;2A212;Piana;"";"";;;2015-09-18 00:00:00;
2ADREAL20180026;Porto-Vecchio;2A247;Porto-Vecchio;"";"";;;2015-08-31 00:00:00;
2ADREAL20180025;Peri;2A209;Peri;"";"";;;2017-05-30 00:00:00;
2ADREAL20180024;Partinello;2A203;Partinello;"";"";;;2015-08-03 00:00:00;
2ADREAL20180023;Olmiccia;2A191;Olmiccia;"";"";;;2015-09-01 00:00:00;
2ADREAL20180022;Ocana;2A181;Ocana;"";"";;;2017-10-31 00:00:00;2018-11-26 00:00:00
2ADREAL20180021;Lecci;2A139;Lecci;"";"";;;2015-08-31 00:00:00;2018-11-26 00:00:00
2ADREAL20180020;Fozzano;2A118;Fozzano;"";"";;;2015-08-31 00:00:00;
2ADREAL20180019;Cuttoli-Corticchiato;2A103;Cuttoli-Corticchiato;"";"";;;2015-10-06 00:00:00;2018-11-26 00:00:00
55DDT20150056;Vassincourt;55531;Vassincourt;"";"";;2015-08-25 00:00:00;2015-08-25 00:00:00;
55DDT20080029;Warcq;55578;Warcq;Orne;"";;2003-10-22 00:00:00;2003-10-22 00:00:00;
55DDT20080028;Ugny-sur-Meuse;55522;Ugny-sur-Meuse;Meuse;"";;2005-01-28 00:00:00;2005-01-28 00:00:00;
55DDT20080027;Thierville-sur-Meuse;55505;Thierville-sur-Meuse;Meuse;"";;2005-04-18 00:00:00;2005-04-18 00:00:00;2018-11-20 00:00:00
55DDT20080026;Sampigny;55467;Sampigny;Meuse;"";;2005-04-29 00:00:00;2005-04-29 00:00:00;2018-11-20 00:00:00
