cod_nat_pprt;lib_pprt;lib_bassin_risques;num_risque;lib_risque;cod_commune;lib_commune;lib_commentaire;dat_css_clic;dat_mise_a_enquete_deb;dat_mise_a_enquete_fin;dat_prescription;dat_deprescription;dat_approbation;dat_conv;dat_modification;dat_annulation;dat_annexion_plu;dat_proroga;dat_abrog;etat_revision;dat_maj
01DDT20110004;01 PPRt KEM ONE;Balan;236.0;Effet thermique;01027;Balan;"";2009-04-29 00:00:00;2012-03-12 00:00:00;2012-04-12 00:00:00;2010-01-27 00:00:00;;2012-05-30 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DDT20110004;01 PPRt KEM ONE;Balan;237.0;Effet de surpression;01027;Balan;"";2009-04-29 00:00:00;2012-03-12 00:00:00;2012-04-12 00:00:00;2010-01-27 00:00:00;;2012-05-30 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DDT20110004;01 PPRt KEM ONE;Balan;236.0;Effet thermique;01142;Dagneux;"";2009-04-29 00:00:00;2012-03-12 00:00:00;2012-04-12 00:00:00;2010-01-27 00:00:00;;2012-05-30 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DDT20110004;01 PPRt KEM ONE;Balan;237.0;Effet de surpression;01142;Dagneux;"";2009-04-29 00:00:00;2012-03-12 00:00:00;2012-04-12 00:00:00;2010-01-27 00:00:00;;2012-05-30 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DREAL20070001;01 PPRT de St Vulbas;St Vulbas;238.0;Effet toxique;01390;Saint-Vulbas;"";2011-11-30 00:00:00;;;2012-03-22 00:00:00;;;;;;;;;f;
01DREAL20170003;01 PPRT de Etrez;Etrez;236.0;Effet thermique;01154;Étrez;"";2011-11-20 00:00:00;2015-04-14 00:00:00;2015-05-14 00:00:00;2012-02-20 00:00:00;;2015-07-28 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DREAL20170003;01 PPRT de Etrez;Etrez;237.0;Effet de surpression;01154;Étrez;"";2011-11-20 00:00:00;2015-04-14 00:00:00;2015-05-14 00:00:00;2012-02-20 00:00:00;;2015-07-28 00:00:00;;;;;;;f;2017-05-10 00:00:00
01DREAL20170004;01 PPRT de Viriat;Viriat;236.0;Effet thermique;01451;Viriat;"";2011-05-26 00:00:00;2013-12-16 00:00:00;2014-01-16 00:00:00;2011-06-30 00:00:00;;2014-05-20 00:00:00;;;;;;;f;
01DREAL20170004;01 PPRT de Viriat;Viriat;237.0;Effet de surpression;01451;Viriat;"";2011-05-26 00:00:00;2013-12-16 00:00:00;2014-01-16 00:00:00;2011-06-30 00:00:00;;2014-05-20 00:00:00;;;;;;;f;
02DDT20140001;BAYER;"";236.0;Effet thermique;02468;Marle;Effet toxique en hauteur;;2013-09-02 00:00:00;2013-10-02 00:00:00;2012-07-31 00:00:00;;2013-12-12 00:00:00;;;;2014-03-14 00:00:00;;;f;2016-08-30 00:00:00
02DDT20140001;BAYER;"";237.0;Effet de surpression;02468;Marle;Effet toxique en hauteur;;2013-09-02 00:00:00;2013-10-02 00:00:00;2012-07-31 00:00:00;;2013-12-12 00:00:00;;;;2014-03-14 00:00:00;;;f;2016-08-30 00:00:00
02DDT20140001;BAYER;"";238.0;Effet toxique;02468;Marle;Effet toxique en hauteur;;2013-09-02 00:00:00;2013-10-02 00:00:00;2012-07-31 00:00:00;;2013-12-12 00:00:00;;;;2014-03-14 00:00:00;;;f;2016-08-30 00:00:00
02DDT20140002;SICAPA;"";236.0;Effet thermique;02549;Neuville-Saint-Amand;"";;2010-05-31 00:00:00;2010-07-02 00:00:00;2009-10-02 00:00:00;;2010-07-26 00:00:00;;;;2011-01-18 00:00:00;;;f;2016-08-30 00:00:00
02DDT20140002;SICAPA;"";237.0;Effet de surpression;02549;Neuville-Saint-Amand;"";;2010-05-31 00:00:00;2010-07-02 00:00:00;2009-10-02 00:00:00;;2010-07-26 00:00:00;;;;2011-01-18 00:00:00;;;f;2016-08-30 00:00:00
02DDT20140002;SICAPA;"";238.0;Effet toxique;02549;Neuville-Saint-Amand;"";;2010-05-31 00:00:00;2010-07-02 00:00:00;2009-10-02 00:00:00;;2010-07-26 00:00:00;;;;2011-01-18 00:00:00;;;f;2016-08-30 00:00:00
02DDT20160003;STORENGY;"";236.0;Effet thermique;02339;Gandelu;Pilotage Préfecture et DDT Seine et Marne (77) : exploitations sur les communes de Germigny sous Colombs, Dhuisis, Coulombs en Valois, Crouy sur Ourcq, Département de l'Oise concerné par les communes de Neufchelles et Varinfroy;;2012-12-17 00:00:00;2013-01-29 00:00:00;2010-10-13 00:00:00;;2013-04-12 00:00:00;;2012-04-13 00:00:00;;;;;f;2016-08-30 00:00:00
02DDT20160003;STORENGY;"";237.0;Effet de surpression;02339;Gandelu;Pilotage Préfecture et DDT Seine et Marne (77) : exploitations sur les communes de Germigny sous Colombs, Dhuisis, Coulombs en Valois, Crouy sur Ourcq, Département de l'Oise concerné par les communes de Neufchelles et Varinfroy;;2012-12-17 00:00:00;2013-01-29 00:00:00;2010-10-13 00:00:00;;2013-04-12 00:00:00;;2012-04-13 00:00:00;;;;;f;2016-08-30 00:00:00
02DDT20160003;STORENGY;"";236.0;Effet thermique;02465;Marigny-en-Orxois;Pilotage Préfecture et DDT Seine et Marne (77) : exploitations sur les communes de Germigny sous Colombs, Dhuisis, Coulombs en Valois, Crouy sur Ourcq, Département de l'Oise concerné par les communes de Neufchelles et Varinfroy;;2012-12-17 00:00:00;2013-01-29 00:00:00;2010-10-13 00:00:00;;2013-04-12 00:00:00;;2012-04-13 00:00:00;;2013-06-24 00:00:00;;;f;2016-08-30 00:00:00
