,CODGEO,MED
0,01,21699.6
1,02,18477.6
2,03,19102.0
3,04,19149.33333333333
4,05,19386.19047619048
5,06,20532.608695652176
6,07,19384.375
7,08,18310.714285714286
8,09,18686.153846153844
9,10,19255.33333333333
10,11,17793.478260869568
11,12,19424.0
12,13,19955.33333333333
13,14,20045.714285714286
14,15,19030.0
15,16,19450.0
16,17,19800.0
17,18,19617.0
18,19,19537.0
19,21,21034.666666666668
20,22,20018.5
21,23,17984.0
22,24,18971.0
23,25,20924.0
24,26,19569.23076923077
25,27,20445.0
26,28,20829.0
27,29,20471.25
28,2A,19731.5
29,2B,18200.0
30,30,18602.8
31,31,21974.5
32,32,19501.304347826088
33,33,20979.33333333333
34,34,18973.779761904763
35,35,20884.583333333336
36,36,19072.0
37,37,20561.0
38,38,21406.666666666668
39,39,20166.19047619048
40,40,20147.826086956524
41,41,20131.304347826088
42,42,19515.0
43,43,19452.777777777777
44,44,20997.33333333333
45,45,20790.0
46,46,19506.0
47,47,18756.0
48,48,19110.0
49,49,19687.2
50,50,19548.09523809524
51,51,20314.285714285717
52,52,18887.083333333336
53,53,19530.666666666668
54,54,20397.777777777777
55,55,19342.5
56,56,20302.222222222223
57,57,20403.0
58,58,19181.2
59,59,18740.0
60,60,20804.666666666668
61,61,18864.0
62,62,17894.0
63,63,20687.222222222223
64,64,20696.0
65,65,19427.33333333333
66,66,17999.444444444445
67,67,21647.0
68,68,21963.33333333333
69,69,21457.0
70,70,19177.5
71,71,19588.888888888887
72,72,19755.454545454548
73,73,21441.53846153846
74,74,24375.0
75,75,26194.666666666668
76,76,19978.0
77,77,22191.304347826088
78,78,25550.0
79,79,19584.0
80,80,19059.5
81,81,19315.0
82,82,18848.09523809524
83,83,20118.5
84,84,18521.33333333333
85,85,19853.913043478264
86,86,19816.153846153844
87,87,19698.0
88,88,19096.666666666668
89,89,19667.5
90,90,20255.33333333333
91,91,22954.0
92,92,25960.666666666668
93,93,16726.0
94,94,21674.666666666668
95,95,20984.8
96,972,16074.0
97,974,13827.777777777776
