,CODGEO,MED
0,01001,21576.666666666668
1,01002,21672.85714285714
2,01004,19756.11111111111
3,01005,23204.8
4,01006,22157.5
5,01007,21679.33333333333
6,01008,23839.0
7,01009,21824.0
8,01010,21962.0
9,01011,21885.714285714286
10,01012,20885.714285714286
11,01013,20654.13793103448
12,01014,19806.041666666668
13,01015,22107.33333333333
14,01016,20138.09523809524
15,01017,18959.277777777777
17,01021,22680.4
18,01022,18886.666666666664
20,01024,21142.85714285714
21,01025,21780.526315789477
22,01026,20700.666666666668
23,01027,22310.0
24,01028,21597.5
25,01029,18909.166666666668
26,01030,19958.214285714286
27,01031,18911.0
28,01032,20611.90476190476
29,01033,19347.0
30,01034,18563.0
31,01035,21988.666666666668
32,01036,20631.6
33,01037,19961.304347826088
34,01038,21310.0
35,01039,19799.04761904762
36,01040,20358.26086956522
37,01041,21695.555555555555
38,01042,23672.0
39,01043,25512.5
40,01044,26489.5
41,01045,23163.04347826087
42,01046,20914.5
43,01047,24717.0
44,01049,24752.666666666668
45,01050,19316.19047619048
47,01052,24640.666666666668
48,01053,18179.5
49,01054,25205.714285714286
50,01056,20164.0
51,01057,19961.304347826088
52,01058,20269.04761904762
53,01059,19556.0
54,01060,22238.083333333336
55,01061,22449.23076923077
56,01062,25766.666666666664
57,01063,23506.0
58,01064,19997.407407407405
59,01065,23229.0
61,01067,21235.217391304348
62,01068,19423.42105263158
63,01069,22415.0
64,01071,35676.666666666664
65,01072,22585.652173913044
66,01073,21656.5
67,01074,20830.0
68,01075,22391.714285714286
69,01076,18857.391304347828
70,01077,21251.90476190476
71,01078,37770.625
72,01079,19785.0
73,01080,21276.0
74,01081,22566.52173913044
75,01082,23483.5
76,01083,22539.52380952381
77,01084,20008.666666666668
78,01085,22007.33333333333
79,01087,23496.451612903224
80,01088,25069.04761904762
81,01089,21443.33333333333
82,01090,20928.666666666668
83,01091,24910.0
84,01092,22268.69565217392
85,01093,20394.75
86,01094,20268.666666666668
87,01095,20394.666666666668
88,01096,20754.285714285717
89,01097,21030.4
90,01098,19978.571428571428
91,01099,23282.301587301587
92,01100,19434.722222222223
93,01101,23480.0
94,01102,21594.34782608696
95,01103,37866.66666666666
96,01104,22800.666666666668
97,01105,25552.5
98,01106,19590.625
99,01107,22195.0
100,01108,20662.0
101,01109,30175.0
102,01110,20721.33333333333
103,01111,20372.666666666668
104,01112,20970.95238095238
105,01113,19532.38095238095
106,01114,23610.37037037037
107,01115,20876.0
108,01116,20277.0
109,01117,19128.5
110,01118,23130.95238095238
111,01119,20483.13333333333
112,01121,19114.0
113,01122,22573.33333333333
114,01123,21834.285714285717
115,01124,20530.0
116,01125,21029.2
117,01127,21561.33333333333
118,01128,20065.0
119,01129,22039.166666666668
120,01130,21713.2
121,01133,21368.0
122,01134,21858.666666666668
123,01135,34938.75
124,01136,21914.0
125,01138,19016.5
126,01139,18783.0
127,01140,22099.5
128,01141,23068.666666666668
129,01142,22250.0
130,01143,40542.0
131,01144,20676.666666666668
132,01145,20366.25
133,01146,21966.666666666668
134,01147,19001.33333333333
135,01148,21458.0
136,01149,24521.33333333333
137,01150,21814.0
138,01151,21717.05128205128
139,01152,24018.51851851852
140,01153,41570.0
141,01154,20325.0
142,01155,18644.4
143,01156,23308.92857142857
144,01157,24260.434782608696
145,01158,30798.214285714286
146,01159,21004.444444444445
147,01160,25135.33333333333
149,01163,20498.888888888887
150,01165,22231.153846153844
151,01166,24142.0
152,01167,22122.758620689656
153,01169,22704.0
154,01170,21034.5
155,01171,21182.85714285714
156,01172,19346.19047619048
157,01173,30333.0
158,01174,22699.5
159,01175,19995.416666666668
160,01176,18884.444444444445
161,01177,21520.0
162,01179,21428.0
163,01180,35981.5
164,01181,22623.0
165,01182,20803.5
166,01183,22717.0
167,01184,20989.04761904762
168,01185,20332.666666666664
170,01187,20254.666666666668
171,01188,22272.777777777777
172,01189,24600.47619047619
174,01191,18984.34782608696
175,01192,20561.11111111111
176,01193,21412.33333333333
177,01194,21132.916666666668
178,01195,22666.923076923074
179,01196,21040.444444444445
180,01197,24992.5
181,01198,20147.33333333333
182,01199,20279.04761904762
183,01200,18800.0
184,01202,20672.38095238095
185,01203,21541.25
186,01204,19976.08695652174
187,01205,22993.33333333333
188,01206,23004.28571428572
189,01207,23795.714285714286
190,01208,19442.85714285714
191,01209,27522.0
192,01210,21157.0
193,01211,21816.1875
194,01212,19552.0
195,01213,21604.0
196,01214,21963.0
198,01216,20384.166666666664
200,01219,17046.0
201,01221,23230.95238095238
202,01224,20774.28571428572
203,01225,23599.52380952381
204,01227,21225.555555555555
205,01228,22103.0
206,01229,21104.285714285717
207,01230,18931.33333333333
208,01231,21216.42857142857
209,01232,20668.0
210,01233,21230.416666666668
211,01234,21091.2
212,01235,21000.0
213,01236,20740.0
214,01237,19838.0
215,01238,25030.666666666668
216,01239,22409.52380952381
217,01240,20954.78260869565
218,01241,23341.33333333333
219,01242,17639.333333333332
220,01243,24204.666666666668
221,01244,21748.4
222,01245,21747.0
223,01246,20324.666666666668
224,01247,25465.58139534884
225,01248,25467.61904761905
226,01249,23166.55172413793
227,01250,24817.2
228,01252,21257.241379310344
229,01254,24781.33333333333
230,01255,20112.38095238095
231,01257,24984.0
232,01258,23106.0
233,01259,22427.5
234,01260,24708.5
235,01261,24047.0
236,01262,20350.47619047619
237,01263,22354.0
238,01264,21597.826086956524
239,01265,18235.652173913044
240,01266,20341.42857142857
241,01267,21183.0
242,01268,21458.46153846154
243,01269,16513.75
244,01271,23463.333333333336
245,01272,20980.666666666668
246,01273,20257.33333333333
247,01274,17781.153846153844
248,01275,26702.857142857145
249,01276,23480.0
250,01277,21924.19047619048
252,01280,19729.52380952381
253,01281,33927.57142857143
254,01282,22195.714285714286
255,01283,16654.193548387095
256,01284,19101.2
257,01285,26912.0
258,01286,22844.083333333336
259,01288,33371.11111111111
260,01289,21929.13043478261
261,01290,25036.666666666668
262,01291,21055.714285714286
263,01292,23299.33333333333
264,01293,24526.0
265,01294,20945.714285714286
266,01295,21300.5
267,01296,19743.809523809523
268,01297,24679.13043478261
269,01298,27129.04761904762
270,01299,21307.61904761905
271,01300,22688.571428571428
272,01301,22589.5
273,01302,23598.0
274,01303,19240.4
275,01304,20349.52380952381
276,01305,18262.666666666668
277,01306,18452.0
278,01307,21015.33333333333
279,01308,33717.0
281,01310,18954.666666666668
283,01312,20576.666666666668
284,01313,36875.0
285,01314,21676.0
286,01316,21447.5
287,01317,21615.0
288,01318,25184.23076923077
289,01319,22125.666666666668
290,01320,22022.0
291,01321,23659.5
292,01322,25899.52380952381
293,01323,20628.09523809524
294,01325,23472.666666666668
295,01328,21950.4
296,01329,18353.5
297,01330,18179.615384615383
298,01331,19569.52380952381
299,01332,21557.14285714285
300,01333,24066.0
301,01334,22603.030303030304
302,01335,20902.0
303,01336,21087.0
304,01337,21339.0
305,01338,20282.571428571428
306,01339,27924.34615384616
307,01340,22341.628205128203
308,01341,22520.0
309,01342,24541.33333333333
310,01343,20802.4
311,01344,23351.5
312,01345,20805.33333333333
313,01346,20455.666666666668
314,01347,25717.61904761905
315,01348,20994.0
316,01349,24888.09523809524
317,01350,21421.0
318,01351,20577.14285714285
319,01352,19287.5
320,01353,24483.33333333333
321,01354,28031.0
322,01355,22185.714285714286
323,01356,22595.714285714286
324,01357,18172.85714285714
325,01358,21450.4
326,01359,24415.0
327,01360,34846.0
328,01361,24904.444444444445
329,01362,25185.23809523809
330,01363,21755.33333333333
331,01364,20774.761904761905
332,01365,21324.0
333,01366,22642.38095238095
334,01367,19508.0
335,01368,21304.0
336,01369,23588.0
337,01370,17818.0
338,01371,22037.6
339,01372,22492.0
340,01373,21209.5
341,01374,22238.09523809524
342,01375,21188.0
343,01376,20774.0
344,01378,25080.0
345,01379,19939.6
346,01380,19473.33333333333
347,01381,20649.565217391308
348,01382,25235.583333333336
349,01383,20710.666666666668
350,01384,17884.166666666668
351,01385,23058.0
352,01386,24015.5
353,01387,20560.666666666668
354,01388,18612.904761904763
355,01389,20857.0
356,01390,21533.33333333333
357,01391,22145.33333333333
358,01392,23431.6
359,01393,22772.222222222223
360,01396,18494.285714285717
361,01397,36063.0
362,01398,22974.0
363,01399,36246.0
364,01400,19601.9
365,01401,40434.0
366,01402,18957.777777777777
367,01403,19546.95652173913
368,01404,24184.761904761905
369,01405,20137.222222222223
370,01406,18475.11111111111
371,01407,20653.33333333333
372,01408,20064.666666666668
373,01409,20171.212121212124
374,01410,24780.0
375,01411,21210.666666666668
376,01412,21967.777777777777
378,01414,22060.8
379,01415,20228.0
380,01416,17303.5
381,01417,19804.285714285717
382,01418,26600.833333333336
383,01419,32638.066666666666
384,01420,17877.04761904762
385,01421,21436.666666666668
386,01422,22963.888888888887
387,01423,25104.0
388,01424,26839.52380952381
389,01425,21336.0
390,01426,21034.761904761905
391,01427,20968.46153846154
392,01428,22651.304347826088
393,01429,21832.4
394,01430,22002.777777777777
395,01431,21767.33333333333
396,01432,21287.083333333336
397,01433,18757.69230769231
398,01434,23120.555555555555
399,01435,31318.666666666668
400,01436,37941.66666666666
401,01437,16907.87841191067
402,01439,20466.666666666668
403,01441,20250.0
404,01442,20863.01886792453
405,01443,21853.75
406,01444,20890.333333333336
407,01445,21034.64285714286
408,01446,22789.904761904763
409,01447,19723.5
410,01448,26522.0
411,01449,23358.571428571428
412,01450,23504.0
413,01451,22372.0
414,01452,18517.0
415,01453,20080.266666666663
416,01454,19924.666666666668
418,01457,19390.416666666668
419,02001,18230.36111111111
420,02002,19631.33333333333
421,02003,20611.42857142857
422,02004,17860.434782608696
423,02005,21948.09523809524
424,02006,19023.846153846152
425,02007,20779.0
426,02008,19611.33333333333
427,02009,20192.0
428,02010,19255.76923076923
429,02011,21446.52173913044
431,02013,20076.666666666668
432,02014,20300.625
434,02016,19246.42857142857
435,02017,19106.33333333333
436,02018,18291.0
437,02019,18893.333333333336
438,02020,17563.04347826087
439,02021,14659.333333333334
440,02022,19049.444444444445
441,02023,21906.5
443,02025,20834.666666666668
444,02026,19989.33333333333
445,02027,19322.5
446,02028,20195.0
447,02029,20497.6
448,02030,18046.92307692308
449,02031,16054.666666666666
450,02032,16539.0
451,02033,19923.33333333333
452,02034,20982.0
453,02035,18238.0
455,02037,19816.0
457,02039,17755.714285714286
458,02040,18611.42857142857
459,02041,20342.0
460,02042,23320.0
463,02046,19664.666666666668
464,02047,19461.6
465,02048,19847.14285714285
466,02049,20124.5
467,02050,17724.8
468,02051,21927.33333333333
469,02052,20564.4
470,02053,21603.809523809523
471,02054,20714.5
472,02055,20369.33333333333
473,02056,20330.666666666668
474,02057,16523.666666666668
475,02058,18050.47619047619
476,02059,16077.0
477,02060,21526.0
478,02061,17053.61111111111
479,02062,19201.833333333336
480,02063,19008.0
481,02064,18532.222222222223
482,02065,18487.826086956524
483,02066,19986.8
484,02067,19130.5
486,02069,14552.666666666666
487,02070,19246.666666666668
488,02071,21693.33333333333
489,02072,21393.809523809523
490,02073,20782.0
491,02074,19514.444444444445
492,02075,23058.888888888887
493,02076,21648.333333333336
494,02077,20148.0
495,02078,16815.238095238095
496,02079,16820.0
497,02080,22878.0
498,02081,21086.666666666668
499,02082,18580.555555555555
500,02083,20687.33333333333
501,02084,23675.2
502,02085,20505.4
503,02086,19977.083333333336
506,02089,20212.5
507,02090,20031.153846153844
508,02091,21470.666666666664
509,02093,17635.0
510,02094,22557.0
511,02095,14280.5
512,02096,20595.33333333333
513,02097,18206.666666666668
514,02098,23627.0
515,02099,22641.85185185185
516,02100,17129.2
517,02101,19606.0
518,02102,20210.0
519,02103,17919.333333333332
520,02104,23358.33333333333
521,02105,19680.666666666668
522,02106,18765.33333333333
524,02108,22370.666666666668
525,02109,17868.0
526,02110,18367.777777777777
527,02111,21459.583333333336
528,02112,19000.0
529,02114,22054.0
530,02115,19152.758620689656
531,02116,15727.333333333334
533,02118,17255.5
534,02119,19194.285714285717
535,02120,18258.0
536,02121,18732.0
538,02123,20262.61904761905
539,02124,19320.0
540,02125,20218.333333333336
541,02126,16296.666666666666
542,02127,19297.222222222223
543,02128,21671.666666666668
545,02130,17971.90476190476
546,02131,21064.33333333333
547,02132,20600.95238095238
548,02133,16936.666666666664
549,02134,17813.214285714286
550,02135,16744.0
551,02136,18079.04761904762
552,02137,21017.5
553,02138,23835.714285714286
554,02139,21977.304347826088
555,02140,18508.0
556,02141,17016.0
557,02142,21776.4
558,02143,17838.0
559,02144,21640.0
560,02145,20373.33333333333
562,02147,20706.0
563,02148,18939.39393939394
566,02151,24675.33333333333
568,02153,21654.0
569,02154,21277.6
570,02155,22496.95652173913
571,02156,19698.0
572,02157,20684.055555555555
573,02158,17001.0
574,02159,19169.5
575,02160,17113.5
576,02161,24390.5
577,02162,20738.333333333336
578,02163,19103.33333333333
579,02164,18473.947368421053
580,02165,18556.666666666668
581,02166,22164.285714285717
582,02167,19821.5
583,02168,17565.333333333332
585,02170,20499.33333333333
587,02172,19606.0
588,02173,16409.333333333332
589,02174,19091.0
590,02175,19072.666666666668
591,02176,17930.555555555555
592,02177,21301.739130434784
593,02178,19231.42857142857
594,02179,20276.0
595,02180,20420.0
597,02182,17269.166666666668
598,02183,23355.0
599,02184,18024.166666666668
600,02185,20596.19047619048
601,02186,22540.95238095238
602,02187,21751.666666666664
603,02188,16104.666666666666
604,02189,16906.666666666668
605,02190,20442.222222222223
606,02191,20697.0
607,02192,19345.76923076923
609,02194,19642.666666666668
610,02195,21458.26086956522
611,02196,20832.38095238095
612,02197,19704.0
613,02198,20640.47619047619
614,02199,19454.866220735785
615,02200,16263.90476190476
616,02201,19763.33333333333
617,02203,18247.14285714285
619,02205,18306.153846153844
621,02207,22272.17391304348
622,02208,21338.5
623,02209,18112.0
624,02210,19266.8
625,02211,20178.5
626,02212,20210.95238095238
627,02213,20350.384615384613
629,02215,19895.714285714286
630,02216,23151.33333333333
631,02217,19116.666666666664
632,02218,19102.0
633,02219,19447.33333333333
634,02220,19712.666666666668
635,02221,21121.85185185185
637,02223,19415.76923076923
638,02224,17512.0
640,02226,20153.5
641,02227,21096.25
642,02228,20482.4
644,02230,21710.0
645,02231,18342.85714285714
646,02232,22189.565217391308
647,02233,21677.61904761905
649,02235,20081.833333333336
650,02236,17667.30769230769
651,02237,17823.333333333332
652,02238,18909.444444444445
653,02239,18761.11111111111
654,02240,17911.333333333332
655,02241,20131.666666666668
656,02242,21337.0
657,02243,18627.5
659,02245,19334.444444444445
660,02246,20167.33333333333
661,02248,17850.0
662,02249,21738.0
666,02253,21880.666666666668
667,02254,24221.33333333333
668,02255,18565.5
669,02256,15590.0
670,02257,24072.0
671,02258,20121.72413793104
672,02259,22682.0
673,02260,17719.753623188408
674,02261,19589.33333333333
675,02262,20121.413043478264
676,02263,17981.0
677,02264,16759.54761904762
678,02265,17583.166666666664
680,02267,19856.8115942029
681,02268,20996.666666666668
682,02269,20245.0
683,02270,17944.444444444445
684,02271,19955.666666666664
686,02273,19474.0
687,02274,17821.428571428572
688,02275,14379.047619047618
689,02276,20353.33333333333
690,02277,18048.0
692,02279,21674.48275862069
693,02280,21959.52380952381
694,02281,20934.0
695,02282,19751.33333333333
696,02283,17067.0
697,02284,20528.666666666664
698,02286,18197.777777777777
699,02287,23158.0
700,02288,18358.0
701,02289,20879.0
702,02290,21187.2
703,02291,19111.666666666668
704,02292,20239.6
705,02293,19103.33333333333
706,02294,21670.0
707,02295,15982.857142857143
708,02296,20524.285714285717
709,02297,21211.53846153846
710,02298,17600.666666666668
711,02299,19938.0
712,02301,19681.07142857143
713,02302,20764.166666666668
714,02303,29120.04761904762
715,02304,14047.619047619048
716,02305,16787.368421052633
717,02306,19054.666666666668
718,02307,20099.444444444445
719,02308,17048.96551724138
720,02309,18563.33333333333
721,02310,20122.0
722,02311,18691.25
723,02312,17887.5
724,02313,17509.2
725,02315,18374.666666666668
726,02316,24210.434782608696
727,02317,22535.33333333333
728,02318,17685.107142857145
729,02319,18267.391304347828
730,02320,21608.0
731,02321,20315.0
732,02322,21340.666666666668
733,02323,20792.63157894737
734,02324,16733.6
735,02325,21375.384615384613
736,02326,20918.0
737,02327,16905.0
738,02328,22885.5
739,02329,22219.2
740,02330,24027.0
741,02331,18380.0
742,02332,19286.214285714283
743,02333,18461.0
744,02334,16712.0
745,02335,19310.0
746,02336,20299.444444444445
747,02337,18744.5
748,02338,18561.53846153846
749,02339,20864.8
750,02340,18615.33333333333
751,02341,20031.25
752,02342,18961.33333333333
756,02346,19965.0
757,02347,23070.0
758,02348,19714.666666666668
760,02350,16991.2
761,02351,18982.777777777777
762,02352,16877.0
763,02353,18551.53846153846
765,02355,20700.0
766,02356,18882.272727272724
768,02358,17715.055555555555
769,02359,19511.90476190476
770,02360,20381.0
771,02361,15463.913043478262
772,02362,19947.222222222223
773,02363,17202.857142857145
774,02364,21648.09523809524
775,02366,16979.6
776,02367,19542.666666666668
777,02368,21830.8
778,02369,16892.666666666668
779,02370,19166.0
780,02371,19585.0
781,02372,19683.888888888887
782,02373,18740.0
783,02374,17903.0
784,02375,22155.833333333336
785,02376,20331.666666666668
786,02377,18022.727272727272
787,02378,18435.33333333333
788,02379,19685.33333333333
790,02381,15129.0
791,02382,21424.444444444445
792,02383,21400.666666666668
794,02385,16898.571428571428
795,02386,17198.57142857143
796,02387,21858.492753623188
797,02388,17871.833333333336
798,02389,20478.571428571428
799,02390,19918.666666666668
800,02391,18351.33333333333
801,02392,21765.555555555555
802,02393,21464.285714285717
803,02395,20652.38095238095
805,02397,18914.5
806,02398,18969.583333333336
807,02399,19834.0
808,02400,21955.714285714286
809,02401,19641.0
811,02403,18273.07692307692
812,02404,19067.33333333333
813,02405,18993.809523809523
814,02406,19985.0
815,02407,22160.0
816,02408,16048.0
817,02409,18074.0
818,02410,22961.42857142857
819,02411,20087.33333333333
820,02412,18148.333333333336
821,02413,19682.608695652176
822,02414,18318.0
823,02415,22624.0
824,02416,18123.33333333333
825,02417,17131.722222222223
826,02418,18668.333333333336
827,02419,19159.809523809523
828,02420,21453.33333333333
830,02422,17700.833333333336
831,02423,18657.2
832,02424,20884.666666666668
833,02425,17113.823529411766
834,02426,20421.42857142857
835,02427,19173.571428571428
837,02429,22165.652173913044
838,02430,18190.0
839,02431,19815.33333333333
840,02432,18454.761904761905
841,02433,18635.714285714286
842,02434,21838.714285714286
844,02438,20614.0
845,02439,19294.761904761905
846,02440,17468.75
847,02441,20453.478260869568
849,02443,22358.26086956522
850,02444,18394.0
851,02445,19270.5
852,02446,23235.217391304348
853,02447,17704.782608695652
854,02448,14970.666666666666
856,02450,18065.5
857,02451,19458.75
858,02452,21405.384615384613
859,02453,19251.0
860,02454,18692.38095238095
861,02455,18214.666666666668
862,02456,18882.0
863,02457,17890.555555555555
864,02458,19536.8
865,02459,22348.571428571428
866,02460,18105.33333333333
867,02461,19179.33333333333
868,02462,18926.666666666668
870,02464,18882.666666666668
871,02465,20656.206896551725
872,02466,19912.4
874,02468,16354.285714285714
875,02469,17980.47619047619
876,02470,16648.8
877,02471,22122.17391304348
878,02472,19203.33333333333
879,02473,19112.85714285714
880,02474,19516.0
881,02475,22435.714285714286
882,02476,16804.0
883,02477,21894.782608695656
884,02478,20235.333333333336
886,02480,20037.33333333333
887,02481,26874.34782608696
889,02483,20733.9393939394
890,02484,19939.6
892,02486,17282.666666666668
893,02487,22366.666666666668
894,02488,19730.357142857145
895,02489,22060.666666666668
896,02490,24878.666666666668
897,02491,17907.666666666664
898,02492,19751.166666666664
899,02493,20248.666666666668
900,02494,19824.0
901,02495,18777.222222222223
902,02496,20766.0
903,02497,21126.666666666668
904,02498,19221.555555555555
906,02500,17177.0
908,02502,15934.347826086958
909,02503,17914.666666666668
910,02504,17995.384615384613
911,02505,21436.0
912,02506,23089.166666666668
914,02508,20849.0
915,02509,21542.5
916,02510,22415.833333333336
917,02511,17804.0
918,02512,21571.42857142857
919,02513,18637.0
920,02514,19342.666666666668
923,02517,18851.0
924,02518,21855.5
925,02519,15237.5
926,02520,18196.19047619048
927,02521,21431.11111111111
930,02524,23149.04761904762
931,02525,22910.0
933,02527,19449.0
934,02528,22250.0
935,02529,18008.26086956522
937,02531,18877.64705882353
938,02532,19533.33333333333
939,02533,20373.0
941,02535,17712.666666666668
942,02536,18620.357142857145
943,02537,22875.23809523809
945,02539,18530.555555555555
946,02540,21848.888888888887
947,02541,21455.217391304348
948,02542,21901.42857142857
949,02543,17924.0
950,02544,18141.11111111111
951,02545,21271.42857142857
952,02546,19552.85714285714
954,02548,18636.0
955,02549,21596.0
956,02550,18088.5
957,02551,17119.04761904762
958,02552,21232.30769230769
959,02553,18422.0
960,02554,23041.33333333333
961,02555,19238.75
963,02557,18976.666666666668
964,02558,16758.846153846152
965,02559,17514.5
966,02560,19268.666666666664
967,02561,23325.714285714286
968,02562,18133.33333333333
969,02563,20462.777777777777
