,CODGEO,MED15
0,01001,22228.0
1,01002,22883.33333333333
2,01004,19735.2
3,01005,23182.666666666668
4,01006,
5,01007,21986.5
6,01008,24389.13043478261
7,01009,23070.666666666668
8,01010,22527.33333333333
9,01011,22300.666666666668
10,01012,22014.0
11,01013,19886.0
12,01014,20272.63157894737
13,01015,22070.666666666668
14,01016,21124.285714285717
15,01017,18925.555555555555
16,01019,
17,01021,22934.761904761905
18,01022,19515.0
19,01023,
20,01024,21533.333333333336
21,01025,21632.85714285714
22,01026,20976.666666666668
23,01027,22960.95238095238
24,01028,22755.666666666668
25,01029,19078.0
26,01030,19966.4
27,01031,18799.33333333333
28,01032,20451.90476190476
29,01033,19490.37037037037
30,01034,18620.5
31,01035,22737.61904761905
32,01036,21041.33333333333
33,01037,19873.0
34,01038,21891.627906976744
35,01039,20162.0
36,01040,21560.0
37,01041,22630.0
38,01042,23302.0
39,01043,25880.4
40,01044,25215.33333333333
41,01045,23168.571428571428
42,01046,21448.79120879121
43,01047,25555.29411764706
44,01049,24862.0
45,01050,19350.95238095238
46,01051,
47,01052,25812.666666666668
48,01053,18165.652173913044
49,01054,24406.08695652174
50,01056,20848.888888888887
51,01057,20352.38095238095
52,01058,20417.5
53,01059,20038.0
54,01060,22522.5
55,01061,22872.608695652176
56,01062,26497.0
57,01063,22333.809523809523
58,01064,20574.666666666668
59,01065,23503.5
60,01066,
61,01067,21795.217391304348
62,01068,20086.95652173913
63,01069,22859.444444444445
64,01071,36747.333333333336
65,01072,22744.666666666668
66,01073,21623.33333333333
67,01074,20860.0
68,01075,22692.277777777777
69,01076,20184.0
70,01077,21004.0
71,01078,40368.91666666667
72,01079,20704.0
73,01080,20582.30769230769
74,01081,22851.5
75,01082,23515.23809523809
76,01083,22493.809523809523
77,01084,20740.47619047619
78,01085,21737.6
79,01087,23723.225806451614
80,01088,25472.85714285714
81,01089,21980.869565217392
82,01090,21576.11111111111
83,01091,25464.0
84,01092,22610.76923076923
85,01093,20684.615384615383
86,01094,20638.8
87,01095,20239.51219512195
88,01096,21255.6
89,01097,21069.809523809523
90,01098,19958.947368421053
91,01099,23765.416666666668
92,01100,20115.0
93,01101,22030.555555555555
94,01102,21309.33333333333
95,01103,38792.22222222222
96,01104,23032.38095238095
97,01105,25438.0
98,01106,19020.666666666668
99,01107,22194.708333333336
100,01108,20831.11111111111
101,01109,29818.0
102,01110,19662.85714285714
103,01111,19509.33333333333
104,01112,21881.33333333333
